,,,,,,
 ,크리에이터센터/멤버십,v 0.1,26.03.30,* 설명하지 않은 부분은 기존 프로세스와 동일 ,,
,포스트 관리,포스트 상세 페이지,포스트 기본 정보 영역,"-  현재 상태 :  발행됨 (상세의 경우는 이미 발행된 포스트를 수정하는 것이기 때문에 상태는 항상 ""발행됨""이어야 함)
-  공개 설정 : 정상, 대기, 숨김 ,삭제
- 열람 권한 설정 : 무료(전체공개) or 유료(리스트 중 연결할 상품 선택)
   ㄴ 하나의 포스트를 정기 구독형 상품과 단건 결제형 상품에 연결할 수 없음. 
   ㄴ 하나의 포스트를 N개 상품에 연결 가능하나, 각 유형 간 연결 불가능함
   ㄴ무료-유료 변경 가능함 (양방향 가능하나, 무료-유료로 변경하는 경우 즉시 해당 유료상품 가입자만 권한 가짐)
   
- 열람 기간 설정 : 상시 or 기간 설정 (시작일/종료일 YYYY:MM:DD HH:MM)
  ㄴ 열람 기간이 지난 이후에 ""상시""로 변경 시 해당 포스트 front 상시 노출이 가능해야 함
 - 댓글 게시판 운영 여부 (Y/N)
   ㄴ 댓글 게시판에 댓글이 존재하는 경우라도 댓글 게시판 운영 여부에 따라 front 노출 여부 결정됨 ","포스트에 연결된 상품이 1개라도 판매된 경우 포스트 연결 해제에 제한을 둬야 하는지?
포스트 연결 해제 시 기존 구매자도 접근이 해제됨",
,멤버십 상품,멤버십 상품 조회 메뉴 (default),주요 기능,"크리에이터 어드민에서 콜로소 관리자가 생성한 해당 크리에이터의 멤버십 상품 리스트를 모두 확인할 수 있어야 함
전체 상품 리스트를 정렬할 수 있어야 함
항목 클릭 시 해당 멤버십 상품의 상세페이지로 이동
멤버십 상품 추가/수정은 크리에이터 센터에서 제공하지 않음 (모두 크리에이터 어드민에서 기능 제공 필요)",,
,멤버십 상품,멤버십 상품 조회 메뉴 (default),멤버십 상품 메뉴 노출 필요 항목,"- 메뉴 제목
- 메뉴 설명
- 필터/검색 기능
  ㄴ 상태 (정상, 대기, 숨김)
  ㄴ 상품 유형 (정기구독형, 단건결제형)
  ㄴ 상품 ID
  ㄴ 상품명
- 멤버십 상품 리스트 : 클릭 시 해당 멤버십 상품 상세 페이지로 이동
  ㄴ 멤버십 ID
  ㄴ 상태 :  정상, 대기,숨김, (삭제)
  ㄴ 멤버십 상품 유형
  ㄴ 멤버십 상품명
  ㄴ 썸네일 
  ㄴ 가격정보 (판매가)
  ㄴ판매 시작일
  ㄴ판매 종료일
  ㄴ 가입중인 멤버 수
","리워드 항목 필요?
특정 멤버십을 대기, 숨김, 삭제하는 경우 해당 상품에 연결된 포스트도 상태 따라감?",
,멤버십 상품,멤버십 상품 상세 페이지,주요 기능,"멤버십 상품 리스트 내 특정 상품 항목 클릭 시 노출되는 페이지
해당 페이지에서 크리에이터가 수정할 수 있는 항목은 없음. (VIEW ONLY)
멤버십 상품의 수정은 크리에이터 어드민> 콜로소 관리자가 가능함
크리에이터 센터> 멤버십 상품 메뉴에서는 기생성된 상품의 정보를 보는 것만 가능함",,
,멤버십 상품,멤버십 상품 상세 페이지,노출 필요 항목,"기본적으로 크리에이터 어드민> 상품 상세 페이지와 동일하나 수정권한 없는 상태로 view를 기본으로 함.. (아래 목록 TBD)
- 메뉴 제목
- 메뉴 설명
- 멤버십 상품 정보
  ㄴ 멤버십 ID
  ㄴ 상태 :  정상, 대기,숨김, (삭제)
  ㄴ 멤버십 상품 유형
  ㄴ 멤버십 상품명
  ㄴ 썸네일 
  ㄴ 가격정보 (판매가)
  ㄴ판매 시작일
  ㄴ판매 종료일
  ㄴ 가입중인 멤버 수
","여기서도 포스트 연결이 가능해야 할까?
view만 되면 되니 항목에 대한 자세한 서술은 크리에이터 어드민> 멤버십 상품 메뉴 참고 필요",
,프로필 관리,프로필 관리 메뉴(default),주요 기능,"해당 크리에이터의 프로필 정보를 조회하고, 일부를 수정할 수 있어야 함
","콜로소 포트폴리오 크리에이터와 데이터 연결하는 경우 미리 정보 채우기 가능해야? 
나중에는 크리에이터 데이터 내 있는 항목들 다 가져와야 할것...",
,프로필 관리,프로필 관리 메뉴(default),노출 필요 항목,"- 크리에이터 정보 
  ㄴ 프로필 이미지 (수정 가능)
  ㄴ 크리에이터명(공개용) (수정 불가)
  ㄴ 소개 (수정 가능)
  ㄴ SNS (수정 가능)
  ㄴ 이력 (현재 front 노출하는 곳 없음) 
  ㄴ 슬러그 (수정불가)
- 미리보기 버튼
- 저장하기 버튼","MVP에서 노출이 안되는 데이터들을 언제 크리에이터 센터로 가지고 올 것인지 확인 필요 (개발)
--> 일단 mvp에서 노출할 정보만 가지고오자",
,프로필 관리,프로필 관리 메뉴(default),크리에이터 정보 영역,"기본적으로 크리에이터에 들어가는 정보는 콜로소BO>크리에이터 메뉴 내 정책과 동일함 (항목 별 min,max값,ui...)",,
,프로필 관리,프로필 관리 메뉴(default),미리보기 버튼,"- 버튼 클릭 시 해당 메뉴에서 구성한 정보들을 미리보기 화면에서 노출
 (미리보기 URL : www.coloso.co.kr/creator/{id})",,
,프로필 관리,프로필 관리 메뉴(default),저장하기 버튼,"클릭 시 즉시 수정한 모든 항목을 저장하고 front 노출함 
저장 시 필수값, 중복 체크 필요 사항 : 크리에이터명 (공개용)
- 저장 성공 시 : 프로필 정보 저장에 성공했습니다.
- 저장 실패 시 : 프로필 정보 저장에 실패했습니다. 저장 실패 사유 : {errorlog}",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,도메인명 정리 필요,,,,,
